evidence_id,source_id,zotero_key,doi,title,field_name,raw_value,raw_unit,normalized_value,normalized_unit,page_hint,evidence_anchor,local_context,formulation,wavelength_nm,figure_or_table,data_role,evidence_lane,confidence_class,automatic_status,automatic_use,source_layer,source_record_id,source_text_path,automatic_reason,notes
CAND-0000002,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=250;power_measurement_plane=not_reported;threshold_definition=candidate_in_anchor,context,,,,"ented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were obtained. As there are presumably different mechanisms of initiation responsible, a more comprehensive study on the photophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-scan analysis. We acknowledge the financial support by the Austrian Science Fund (FWF) and the Austrian Research Agency (FFG) under Contracts N703 (STRUCMAT- ISOTEC) and P18623 N-17. Supporting Information Available: Synthesis and character- ization of the key intermediates, NMR spectra of the new initiators, and photodegradation effect at different flow rates (z-scan analysis). This material is available free of ch","ented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were obtained. As there are presumably different mechanisms of initiation responsible, a more comprehensive study on the photophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-sca...",,,,context_candidate,machine_numeric_extraction,machine_medium,auto_retained_context_candidate,automatic_context_or_validation_candidate,two_photon_numeric_extraction,CAND-0000002,,context_missing_resin,series context candidate; matched-series equality still requires audit
CAND-0000004,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,repetition_rate_MHz=100;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"ophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-scan analysis. We acknowledge the financial support by the Austrian Science Fund (FWF) and the Austrian Research Agency (FFG) under Contracts N703 (STRUCMAT- ISOTEC) and P18623 N-17. Supporting Information Available: Synthesis and character- ization of the key intermediates, NMR spectra of the new initiators, and photodegradation effect at different flow rates (z-scan analysis). This material is available free of charge via the Internet at http://pubs.acs.org. References and Notes (1) Maruo, S.; Nakamura, O.; Kawata, S. Opt. Lett. 1997, 22 (2), 132– 134. (2) Maruo, S.; Fourkas, J. T. Laser Photonics Rev. 2008, 2 (1-2), 100– 111. (3) Sun, H.-B.; Kawata, S. Adv. Polym. Sci. 2004, 170, 169-273. Figure 7. 3D structures (resin ETA/TTA 1:1,B3K as initiator) using different laser systems: system A (1 kHz): (a) dragonfly;55 (b) dinosaur;55 system B (100 MHz): (c) woodpile structure; (d) detailed view of the woodpile structure. --- Page 10 --- 6528 Macromolecules, Vol. 42, No. 17, 2009 Pucher et al. (4) Sun, H.-","ophysics and theoretical and experimental cross-section values of the new PIs is currently in progress and will be the subject of a separate publication. Acknowledgment. We thank Ali A. Ajami and Wolfgang Husinsky (IAP, TU Vienna) for the help in measuring the TPA cross section with z-scan analysis. We acknowledge the financial support by the Austrian Science Fund (FWF) and the Austrian Research Agency (FFG) under Contracts N703 (STRUCMAT- ISOTEC) and P18623 N-17. Supporting Information Available: Synthesis and character- ization of the key intermediates, NMR spectra of the new initiators, and photodegradation effect at different flow rates (z-scan analysis). This material is available free of charge via the Internet at http://pubs.acs.org. References and Notes (1) Maruo, S.; Nakamura, O.; Kawata, S. Opt. Lett. 1997, 22 (2), 132– 134. (2) Maruo, S.; Fourkas, J. T. Laser Photonics Rev....",,,,context_candidate,machine_numeric_extraction,machine_medium,auto_retained_context_candidate,automatic_context_or_validation_candidate,two_photon_numeric_extraction,CAND-0000004,,context_missing_wavelength,series context candidate; matched-series equality still requires audit
CAND-0000006,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=120;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"such as tailored replacement materials.13,14 TPIP is a solid free-form fabrication technique where a resin, which contains mainly a multifunctional acrylate-based monomer and a photoinitiator (PI), is cur ed inside the focal point of a femtosecond pulsed near-infrared laser beam. With this unique process it is possible to produce complex 3D structures with resolutions (∼120 nm) below the diffraction limit of the utilized wavelength.15 With advanced techniques such as the application of radical quenchers16,17 or repolymerization techniques,18 it is even possible to improve the feature resolution to 65 and 22 nm, respectively. A highly active TPA PI plays a key role in order to obtain an efficient and clean polymerization and therefore high-quality structures. In the literature, the TPA cross section (1 GM = 10-50 m4 sp h o t o n-1) is the currently used value to characterize the activity of a TPA compound. It has to be noted that this value corresponds only on the absorption behavior of the compound similar to the extinction coefficient (ε) of one-photon absorption in Lambert -Beer’s law, giving only a hint for the subsequent photoreactivity.6 At the initial stages of TPIP, research groups used typical commercially available radical PIs such as Irgacure 369. 1,8,19 Relatively high c","such as tailored replacement materials.13,14 TPIP is a solid free-form fabrication technique where a resin, which contains mainly a multifunctional acrylate-based monomer and a photoinitiator (PI), is cur ed inside the focal point of a femtosecond pulsed near-infrared laser beam. With this unique process it is possible to produce complex 3D structures with resolutions (∼120 nm) below the diffraction limit of the utilized wavelength.15 With advanced techniques such as the application of radical quenchers16,17 or repolymerization techniques,18 it is even possible to improve the feature resolution to 65 and 22 nm, respectively. A highly active TPA PI plays a key role in order to obtain an efficient and clean polymerization and therefore high-quality structures. In the literature, the TPA cross section (1 GM = 10-50 m4 sp h o t o n-1) is the currently used value to characterize the activi...",,,,context_candidate,machine_numeric_extraction,machine_high,auto_provisional_accept,automatic_context_candidate,two_photon_numeric_extraction,CAND-0000006,,context candidate has wavelength and resin signal; equality across all PIs still needs audit,series context candidate; matched-series equality still requires audit
CAND-0000008,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=730;power_measurement_plane=not_reported,context,,,,"igh photoreactivity just like for normal one-photon initiators seems the goal to achieve. In recent literature, a large variety of TPA active compounds has been reported with;in some cases; enormous TPA cross sections.24,25 To obtain these high GM values, a planarπ-system with a long conjugation length and with different functional donor (D) and/ or acceptor (A) groups are important structural parameters.24-26 Two representative examples of high efficiency that are fre- quently reported in literature are E,E-1,4-bis[40-(N,N-di-n- butylamino)styryl]-2,5-dimethoxybenzene (R1)a n d E,E-1,4-bis- [40-(N,N-di-n-butylamino)styryl]benzene (R2), with TPA cross sections up to 995 GM at the maximum of the TPA absorption spectra (730 nm) (Figure 1). 26 These initiators are using an intramolecular charge transfer mechanism in the primary initia- tion step, followed by an intermolecular electron transfer.27 In addition to the planarity, the conjugation length of the chromophore, the type of D/A system and the type of the*Corresponding author. E-mail: robert.liska@tuwien.ac.at. Downloaded via TONGJI UNIV on March 22, 2026 at 13:06:58 (UTC). See https://pubs.acs.org/sharingguidelines for options on how to legitimately share published articles. --- Page 2 --- 6520 Macromolecules, Vol. 42, No. 17,","igh photoreactivity just like for normal one-photon initiators seems the goal to achieve. In recent literature, a large variety of TPA active compounds has been reported with;in some cases; enormous TPA cross sections.24,25 To obtain these high GM values, a planarπ-system with a long conjugation length and with different functional donor (D) and/ or acceptor (A) groups are important structural parameters.24-26 Two representative examples of high efficiency that are fre- quently reported in literature are E,E-1,4-bis[40-(N,N-di-n- butylamino)styryl]-2,5-dimethoxybenzene (R1)a n d E,E-1,4-bis- [40-(N,N-di-n-butylamino)styryl]benzene (R2), with TPA cross sections up to 995 GM at the maximum of the TPA absorption spectra (730 nm) (Figure 1). 26 These initiators are using an intramolecular charge transfer mechanism in the primary initia- tion step, followed by an intermolecular electron tr...",,,,context_candidate,machine_numeric_extraction,machine_medium,auto_retained_context_candidate,automatic_context_or_validation_candidate,two_photon_numeric_extraction,CAND-0000008,,context_missing_resin,series context candidate; matched-series equality still requires audit
CAND-0000012,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=120;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"h as tailored replacement materials.13,14 TPIP is a solid free-form fabrication technique where a resin, which contains mainly a multifunctional acrylate-based monomer and a photoinitiator (PI), is cur ed inside the focal point of a femtosecond pulsed near-infrared laser beam. With this unique process it is possible to produce complex 3D structures with resolutions (∼120 nm) below the diffraction limit of the utilized wavelength.15 With advanced techniques such as the application of radical quenchers16,17 or repolymerization techniques,18 it is even possible to improve the feature resolution to 65 and 22 nm, respectively. A highly active TPA PI plays a key role in order to obtain an efficient and clean polymerization and therefore high-quality structures. In the literature, the TPA cross section (1 GM = 10-50 m4 sp h o t o n-1) is the currently used value to characterize the activity of a TPA compound. It has to be noted that this value corresponds only on the absorption behavior of the compound similar to the extinction coefficient (ε) of one-photon absorption in Lambert -Beer’s law, giving only a hint for the subsequent photoreactivity.6 At the initial stages of TPIP, research groups used typical commercially available radical PIs such as Irgacure 369. 1,8,19 Relatively high conc","h as tailored replacement materials.13,14 TPIP is a solid free-form fabrication technique where a resin, which contains mainly a multifunctional acrylate-based monomer and a photoinitiator (PI), is cur ed inside the focal point of a femtosecond pulsed near-infrared laser beam. With this unique process it is possible to produce complex 3D structures with resolutions (∼120 nm) below the diffraction limit of the utilized wavelength.15 With advanced techniques such as the application of radical quenchers16,17 or repolymerization techniques,18 it is even possible to improve the feature resolution to 65 and 22 nm, respectively. A highly active TPA PI plays a key role in order to obtain an efficient and clean polymerization and therefore high-quality structures. In the literature, the TPA cross section (1 GM = 10-50 m4 sp h o t o n-1) is the currently used value to characterize the activity...",,,,context_candidate,machine_numeric_extraction,machine_high,auto_provisional_accept,automatic_context_candidate,two_photon_numeric_extraction,CAND-0000012,,context candidate has wavelength and resin signal; equality across all PIs still needs audit,series context candidate; matched-series equality still requires audit
CAND-0000013,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=800;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"ving quality 4 no longer showed acceptable results. The walls had several imperfections such as holes or no well- defined structures due to overexposure. In the case of quality 5 the shapes are no longer identifiable because of several defects such as complete missing walls and vast holes (Figure 6y) or due to massive over exposure effects, which could be recognized by “exploded shapes” (Figure 6x). Figure 3. (a) Experimental z-scan data (dots) and fitting curves (full lines) forB3K at different pulse energies. (b)q0 plotted vs intensity for investigated PIs and an example for standard measurement and fitting data. Figure 4. (a) Screening of PI B3K (range 5-30 μW). (b) Detailed view. --- Page 8 --- 6526 Macromolecules, Vol. 42, No. 17, 2009 Pucher et al. In our measurements, the initiators (6.3 /C2 10-6 mol PI/g resin) well-known from the literature ( R1, R2) are both able to build up nicely shaped structures at low laser in- tensities. The commercially available PI Irgacure 369 showed no good results at 800 nm at the given low PI concentration, which is well in agreement with the low TPA cross section. 22 Because of the TPA spectrum of Irgacure 369 ( λmax = 324 nm),22 the laser wavelength was adjusted to 600 nm. At this wavelength, only a small processing window of less than 10","ving quality 4 no longer showed acceptable results. The walls had several imperfections such as holes or no well- defined structures due to overexposure. In the case of quality 5 the shapes are no longer identifiable because of several defects such as complete missing walls and vast holes (Figure 6y) or due to massive over exposure effects, which could be recognized by “exploded shapes” (Figure 6x). Figure 3. (a) Experimental z-scan data (dots) and fitting curves (full lines) forB3K at different pulse energies. (b)q0 plotted vs intensity for investigated PIs and an example for standard measurement and fitting data. Figure 4. (a) Screening of PI B3K (range 5-30 μW). (b) Detailed view. --- Page 8 --- 6526 Macromolecules, Vol. 42, No. 17, 2009 Pucher et al. In our measurements, the initiators (6.3 /C2 10-6 mol PI/g resin) well-known from the literature ( R1, R2) are both able to build up...",,,,context_candidate,machine_numeric_extraction,machine_high,auto_provisional_accept,automatic_context_candidate,two_photon_numeric_extraction,CAND-0000013,,context candidate has wavelength and resin signal; equality across all PIs still needs audit,series context candidate; matched-series equality still requires audit
CAND-0000015,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=800;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"t al. In our measurements, the initiators (6.3 /C2 10-6 mol PI/g resin) well-known from the literature ( R1, R2) are both able to build up nicely shaped structures at low laser in- tensities. The commercially available PI Irgacure 369 showed no good results at 800 nm at the given low PI concentration, which is well in agreement with the low TPA cross section. 22 Because of the TPA spectrum of Irgacure 369 ( λmax = 324 nm),22 the laser wavelength was adjusted to 600 nm. At this wavelength, only a small processing window of less than 10 μW was found, where sufficiently good results can be obtained. It has to be mentioned that by increasing the concentration of Irgacure 369 to 1 wt %, which is a com- mon concentration found in the literature, nicely expo- sured structures between 4 and 7 μW could be obtained at 600 nm. The same effect could also be observed when using the presented initiators. The starting point for our investigations was M3K that gave good results in preliminary tests. By changing the acceptor group in M3K from a carbonyl group to a pyridine moiety as in PI M3P, the solubility was dramatically de- creased. In the structuring tests we were not able to obtain any good results with the pyridine-based compound M3P (data not shown). Explanation might be given by the low TPA cross se","t al. In our measurements, the initiators (6.3 /C2 10-6 mol PI/g resin) well-known from the literature ( R1, R2) are both able to build up nicely shaped structures at low laser in- tensities. The commercially available PI Irgacure 369 showed no good results at 800 nm at the given low PI concentration, which is well in agreement with the low TPA cross section. 22 Because of the TPA spectrum of Irgacure 369 ( λmax = 324 nm),22 the laser wavelength was adjusted to 600 nm. At this wavelength, only a small processing window of less than 10 μW was found, where sufficiently good results can be obtained. It has to be mentioned that by increasing the concentration of Irgacure 369 to 1 wt %, which is a com- mon concentration found in the literature, nicely expo- sured structures between 4 and 7 μW could be obtained at 600 nm. The same effect could also be observed when using the presented initi...",,,,context_candidate,machine_numeric_extraction,machine_high,auto_provisional_accept,automatic_context_candidate,two_photon_numeric_extraction,CAND-0000015,,context candidate has wavelength and resin signal; equality across all PIs still needs audit,series context candidate; matched-series equality still requires audit
CAND-0000017,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=600;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"ect on the activity compared to M3K, but in this case the solubility in the resin was significantly lowered. The butyl side chains ofB3K have the best influence on the activity. As described in the literature, 3 the increased solubility seems to be the reason for that. So B3K turned out to be the best performing initiator in our tests having the broadest ideal structuring process window at laser intensities as low as 5 μW and a very good solubility in the resin. The tests were repeated also with lower molar PI concen- trations in order to determine the lowest possible PI con- centration under these conditions (data not shown). For the medium concentration (1.6 /C2 10-6 mol PI/g resin) the results for all initiators are very similar to the higher concentration; only the ideal processing window is slightly shifted to higher laser intensities. At the lowest concentration (1.6 /C2 10-7 mol PI/g resin), only H3K could produce well-defined structures within a very small process window at 600 nm. Additionally, more complex 3D structures were inscribed into the material volume using B3K (6.3 /C2 10-6 mol PI/g resin) as initiator. A laser power of 11 μW at a given feedrate of 1 mm/min allowed the structuring of a dragonfly and a dinosaur sculpture using laser system A (Figure 7a,b). These shapes are s","ect on the activity compared to M3K, but in this case the solubility in the resin was significantly lowered. The butyl side chains ofB3K have the best influence on the activity. As described in the literature, 3 the increased solubility seems to be the reason for that. So B3K turned out to be the best performing initiator in our tests having the broadest ideal structuring process window at laser intensities as low as 5 μW and a very good solubility in the resin. The tests were repeated also with lower molar PI concen- trations in order to determine the lowest possible PI con- centration under these conditions (data not shown). For the medium concentration (1.6 /C2 10-6 mol PI/g resin) the results for all initiators are very similar to the higher concentration; only the ideal processing window is slightly shifted to higher laser intensities. At the lowest concentration (1.6 /C2 10-7 mo...",,,,context_candidate,machine_numeric_extraction,machine_high,auto_provisional_accept,automatic_context_candidate,two_photon_numeric_extraction,CAND-0000017,,context candidate has wavelength and resin signal; equality across all PIs still needs audit,series context candidate; matched-series equality still requires audit
CAND-0000020,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=600;repetition_rate_MHz=100;power_measurement_plane=not_reported;resin_formulation=candidate_in_anchor,context,,,,"der to determine the lowest possible PI con- centration under these conditions (data not shown). For the medium concentration (1.6 /C2 10-6 mol PI/g resin) the results for all initiators are very similar to the higher concentration; only the ideal processing window is slightly shifted to higher laser intensities. At the lowest concentration (1.6 /C2 10-7 mol PI/g resin), only H3K could produce well-defined structures within a very small process window at 600 nm. Additionally, more complex 3D structures were inscribed into the material volume using B3K (6.3 /C2 10-6 mol PI/g resin) as initiator. A laser power of 11 μW at a given feedrate of 1 mm/min allowed the structuring of a dragonfly and a dinosaur sculpture using laser system A (Figure 7a,b). These shapes are showing perfectly the advantages of TPIP com- pared to other rapid prototyping techniques. High resolu- tions, which are otherwise inaccessible, and complex 3D structures with massive overhangs such as the wings of the dragonfly sculpture (Figure 7a) can be obtained easily. Furthermore, a different laser system with a repetition rate of 100 MHz (system B) was also tested in order to achieve higher resolutions than obtained by system A. In a power range of 1.5-2.8 mW at a feed rate of 10 -25 μm/s perfectly Figure 5. PI TPIP","der to determine the lowest possible PI con- centration under these conditions (data not shown). For the medium concentration (1.6 /C2 10-6 mol PI/g resin) the results for all initiators are very similar to the higher concentration; only the ideal processing window is slightly shifted to higher laser intensities. At the lowest concentration (1.6 /C2 10-7 mol PI/g resin), only H3K could produce well-defined structures within a very small process window at 600 nm. Additionally, more complex 3D structures were inscribed into the material volume using B3K (6.3 /C2 10-6 mol PI/g resin) as initiator. A laser power of 11 μW at a given feedrate of 1 mm/min allowed the structuring of a dragonfly and a dinosaur sculpture using laser system A (Figure 7a,b). These shapes are showing perfectly the advantages of TPIP com- pared to other rapid prototyping techniques. High resolu- tions, which are ot...",,,,context_candidate,machine_numeric_extraction,machine_high,auto_provisional_accept,automatic_context_candidate,two_photon_numeric_extraction,CAND-0000020,,context candidate has wavelength and resin signal; equality across all PIs still needs audit,series context candidate; matched-series equality still requires audit
CAND-0000022,ZPC-000028,,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,experimental_context,wavelength_nm=250;power_measurement_plane=not_reported;threshold_definition=candidate_in_anchor;resin_formulation=candidate_in_anchor,context,,,,"order to study the structure-activity relation- ship. Generally, structuring tests are well in accordance with the values for the TPA cross section; only in the case of double-bond- containing derivatives such as M2K significantly lower activity has to be accepted presumably due to cis -trans isomerization reactions. A carbonyl group as electron withdrawing function- ality showed by far better results than pyridinyl and pyridiniumyl moieties. A dibutylamino functionality increased the activity of the PIs under TPIP conditions compared to dimethylamino and diphenylamino electron-donating groups most likely due to an improved solubility in the resin. Therefore, B3K turned out to contain the optimum set of functional groups at the given lead structure, having the highest activity of all presented initiators. To conclude, the new compounds are highly efficient initiators similar to other very potential two-photon initiators from the literature. We were able to produce nicely shaped structures with PI concentrations as low as ∼0.05 wt %. Additionally, the ideal processing window for each initiator was determined by changing the laser intensity and initiator concentration at a fixed feed rate. By using optimized parameters, structures with line widths of about 250 nm were obtained. As there","order to study the structure-activity relation- ship. Generally, structuring tests are well in accordance with the values for the TPA cross section; only in the case of double-bond- containing derivatives such as M2K significantly lower activity has to be accepted presumably due to cis -trans isomerization reactions. A carbonyl group as electron withdrawing function- ality showed by far better results than pyridinyl and pyridiniumyl moieties. A dibutylamino functionality increased the activity of the PIs under TPIP conditions compared to dimethylamino and diphenylamino electron-donating groups most likely due to an improved solubility in the resin. Therefore, B3K turned out to contain the optimum set of functional groups at the given lead structure, having the highest activity of all presented initiators. To conclude, the new compounds are highly efficient initiators similar to other...",,,,context_candidate,machine_numeric_extraction,machine_high,auto_provisional_accept,automatic_context_candidate,two_photon_numeric_extraction,CAND-0000022,,context candidate has wavelength and resin signal; equality across all PIs still needs audit,series context candidate; matched-series equality still requires audit
