formulation_cluster_id,cluster_id,paper_id,doi,source_lane,page_hint,field_groups,field_values_json,molecule_ids,source_local_entity_ids,preferred_names,entity_count,structure_backed_entity_count,identity_resolution,formulation_status,relative_core_signal,comsol_requirement_count,comsol_missing_requirements,strict_use_status,existing_condition_ids,crosschecked_source_local_entity_ids,crosschecked_source_local_inchikeys,identity_enrichment_status,accepted_source_local_entity_ids_v5,accepted_source_local_inchikeys_v5,accepted_source_local_entity_ids_v6,accepted_source_local_inchikeys_v6,accepted_source_local_entity_ids_v7,accepted_source_local_inchikeys_v7,accepted_source_local_entity_ids_v8,accepted_source_local_inchikeys_v8,accepted_source_local_entity_ids_v9,accepted_source_local_inchikeys_v9,accepted_source_local_entity_ids_v11,accepted_source_local_inchikeys_v11
FORM-2a993effd9be0adb89,CONDCL-4a0d230c51c399cb76,zotero_IMCYIYET,,core_two_photon,1,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-5a9171daa678,,,,,,,,,,,,,,,
FORM-124e7294b20bd8826f,CONDCL-c8e7a70a1048ffdb57,zotero_IMCYIYET,,core_two_photon,11,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-eba3ef1e1571,,,,,,,,,,,,,,,
FORM-a9dbfb0d65a83c727d,CONDCL-8f64cb7e9e72fd5acd,zotero_IMCYIYET,,core_two_photon,13,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-37e6b2665a03,,,,,,,,,,,,,,,
FORM-4b8e2143b375140f4b,CONDCL-48529056ea147d2fe4,zotero_D6JVVDG4,,core_two_photon,2,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-230b367cd4bc,,,,,,,,,,,,,,,
FORM-77276301381c1c1a4b,CONDCL-7bcaeac0f58d775d76,zotero_RU8URT2Z,,core_two_photon,2,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-078a9d21751e,,,,,,,,,,,,,,,
FORM-d132befe0628fdb1ed,CONDCL-f3ca9e112330d1ecc2,zotero_D6JVVDG4,,core_two_photon,2,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-e71c5d461c5a,,,,,,,,,,,,,,,
FORM-b457a7705563c5c738,CONDCL-ef831551130fd220a1,zotero_RU8URT2Z,,core_two_photon,3,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-71911e2fbd64,,,,,,,,,,,,,,,
FORM-1f16a15aecae1d66d5,CONDCL-03cd64e4e0663fb5b9,zotero_IMCYIYET,,core_two_photon,6,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-d5e35aa8d3eb,,,,,,,,,,,,,,,
FORM-53a730dd884df9e80f,CONDCL-365acc50f57e1dedb3,zotero_RU8URT2Z,,core_two_photon,6,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-042858b96f9c,,,,,,,,,,,,,,,
FORM-f2208c7a44217d81af,CONDCL-865b2c859089fdd12d,ZPC-002687,10.1002/adem.200980012,core_two_photon,,laser_power;pulse_width_fs;repetition_rate_MHz;wavelength_nm,"{""laser_power"": [{""normalized"": ""450"", ""normalized_unit"": ""mW"", ""raw"": ""450mW"", ""raw_unit"": ""mW""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""450mW"", ""raw_unit"": ""mW""}], ""pulse_width_fs"": [{""normalized"": ""60"", ""normalized_unit"": ""fs"", ""raw"": ""60 fs"", ""raw_unit"": ""fs""}], ""repetition_rate_MHz"": [{""normalized"": ""94"", ""normalized_unit"": ""MHz"", ""raw"": ""94 MHz"", ""raw_unit"": ""MHz""}], ""wavelength_nm"": [{""normalized"": ""780"", ""normalized_unit"": ""nm"", ""raw"": ""780 nm"", ""raw_unit"": ""nm""}]}",,,,0,0,no_molecular_identity_detected,multi_field_condition_only_candidate,false,3,atmosphere;focusing;geometry;motion_or_dwell;power_plane,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
