alias_id,molecule_id,preferred_name,alias,normalized_alias,match_scope,source_dois,source_ids,molecule_role,identity_status,identity_scope,smiles,stored_inchikey,computed_inchikey,structure_validation,case_sensitive,alias_status
ALIAS-a4012cd38666ed96a2,MOL-00630a00040a,compound 4c doughnut array,compound 4c doughnut array,compound4cdoughnutarray,source_scoped,10.2494/photopolymer.32.257,zotero_LVN4MHDD,photoinitiator_or_photosensitizer,formulation_identity,source_scoped,,,,not_available,false,eligible_exact_alias
ALIAS-d9db65fb26784b54a4,MOL-06ee150ea4cf,"1: 2,7-bis[2-(4-dimethylamino-phenyl)-vinyl]anthraquinone","1: 2,7-bis[2-(4-dimethylamino-phenyl)-vinyl]anthraquinone",127bis24dimethylaminophenylvinylanthraquinone,global_exact_name,10.1016/j.jphotochem.2007.03.002,zotero_95TT3IKI,photoinitiator_or_photosensitizer,explicit_field,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-80f42abde82db07379,MOL-09627362a8bc,2BTrz,2BTrz,2btrz,global_exact_name,10.1038/s41598-018-35301-x,OA2P-000226,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-74e1dd87d33ffc4118,MOL-0bd1f2454b16,CCK-Ben,CCK-Ben,cckben,global_exact_name,10.1021/acsapm.4c00932,zotero_PJQEIM6F,photoinitiator_or_photosensitizer,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-90539f740a7e5fd438,MOL-134dd1ff52e2,Lucirin TPO-L,Lucirin TPO-L,lucirintpol,global_exact_name,10.1002/lpor.201600079;10.1007/s00339-007-4367-0;10.1016/j.polymer.2017.04.039;10.1115/1.4000097,Tomova2016; Ummethala2017; Uppal2009; zotero_INAWB8HL; zotero_KGWA2AJ6; zotero_QH8XLKS5,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-7735d2a8f92f47447d,MOL-134dd1ff52e2,Lucirin TPO-L,LTPO-L,ltpol,global_exact_name,10.1002/lpor.201600079;10.1007/s00339-007-4367-0;10.1016/j.polymer.2017.04.039;10.1115/1.4000097,Tomova2016; Ummethala2017; Uppal2009; zotero_INAWB8HL; zotero_KGWA2AJ6; zotero_QH8XLKS5,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-1adc4420a2020e168c,MOL-134dd1ff52e2,Lucirin TPO-L,TPO-L,tpol,global_exact_name,10.1002/lpor.201600079;10.1007/s00339-007-4367-0;10.1016/j.polymer.2017.04.039;10.1115/1.4000097,Tomova2016; Ummethala2017; Uppal2009; zotero_INAWB8HL; zotero_KGWA2AJ6; zotero_QH8XLKS5,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-9d51e5b2951b0229b3,MOL-1bf749ee78ef,DPEPA,DPEPA,dpepa,global_exact_name,10.1364/oe.6.000064,zotero_RK5TXPZ5,resin_or_matrix,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-9872877ace51320b1a,MOL-1cf7a6e2aeef,DETC,DETC,detc,global_exact_name,10.1021/acsami.3c10581;10.1021/acsapm.3c00141;10.1021/acsapm.4c00932;10.1038/s41598-017-17391-1;10.1039/d4sc03527e,Kilic2023; Mauri2024; Tang2023; ZPC-000049; ZPC-001953; zotero_PJQEIM6F,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-b970e67c6c800cb608,MOL-223c90f9ee2b,"2,7-bis[(E)-2-(4-dimethylaminophenyl)ethenyl]anthracene-9,10-dione","2,7-bis[(E)-2-(4-dimethylaminophenyl)ethenyl]anthracene-9,10-dione",27bise24dimethylaminophenylethenylanthracene910dione,source_scoped,10.1016/j.jphotochem.2007.03.002,ZPC-001187; zotero_95TT3IKI,photoinitiator_or_photosensitizer,structure_linked,source_scoped,CN(C)c1ccc(/C=C\c2cccc3c2C(=O)c2c(/C=C\c4ccc(N(C)C)cc4)cccc2C3=O)cc1,IQUNKJJUMRLHSN-JYFOCSDGSA-N,IQUNKJJUMRLHSN-WHYMJUELSA-N,rdkit_sanitized,false,eligible_exact_alias
