entity_id,paper_id,doi,raw_label,normalized_label,occurrence_count,page_hints,example_anchor,entity_status,structure_status,scientific_use
SRCENT-1b5e073932462319fe,zotero_4UUBRRGP,10.1002/adfm.201203880,Eosin Y,eosiny,1,5,"5 www.afm-journal.de www.MaterialsViews.com wileyonlinelibrary.com© 2013 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim FEATURE ARTICLE T a b l e 1 . 2PP PI, water solubility, availability and 2PA cross sections ( σ 2PA in GM [10 − 50 cm 4 s photon − 1 ]) at 800 nm measured using Z-scan analysis. 2PP PI Water soluble Commercial σ 2PA Chemical Structure Reference Irgacure 369 No Yes 7 [ 65 ] Irgacure 651 No Yes 28 [ 65 ] Irgacure 2959 yes Yes Not known Rose Bengal Yes Yes 10 [ 67 ] Eosin Y Yes Yes 10 [ 67 ] Erythrosin Yes Yes 10 [ 67 ] Flavin adenine dinucleotide (FAD) Yes Yes 0.0",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-65ab6786346f1710f2,zotero_4UUBRRGP,10.1002/adfm.201203880,Irgacure 2959,irgacure2959,1,5,"5 www.afm-journal.de www.MaterialsViews.com wileyonlinelibrary.com© 2013 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim FEATURE ARTICLE T a b l e 1 . 2PP PI, water solubility, availability and 2PA cross sections ( σ 2PA in GM [10 − 50 cm 4 s photon − 1 ]) at 800 nm measured using Z-scan analysis. 2PP PI Water soluble Commercial σ 2PA Chemical Structure Reference Irgacure 369 No Yes 7 [ 65 ] Irgacure 651 No Yes 28 [ 65 ] Irgacure 2959 yes Yes Not known Rose Bengal Yes Yes 10 [ 67 ] Eosin Y Yes Yes 10 [ 67 ] Erythrosin Yes Yes 10 [ 67 ] Flavin adenine dinucleotide (FAD) Yes Yes 0.0",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-e967083bed94262c89,ZPC-005453,10.1002/admi.202202352,benzophenone,benzophenone,2,15,"Photopolymerization profiles of acrylate functions (double bond conversion vs irradiation 353 time) under air upon exposure to a LED@405nm in the presence of (a) dye4/Iod(2 wt%)/TMPTA, 354 ITX/Iod(2 wt%)/TMPTA and benzophenone/Iod(2 wt%)/TMPTA; (b) dye4/EDB(2 wt% )/TMPTA, 355 ITX/EDB(2 wt%)/TMPTA and benzophenone/EDB(2 wt%)/TMPTA; thickness at ~ 2 mm; the irradi- 356 ation starts at t = 10 s",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-a4c3643d22be623181,ZPC-005453,10.1002/admi.202202352,PI 0,pi0,2,7,"Electron spin resonance - spin trapping (ESR-ST) 177 The test solution was made by dissolving the PI/Iod or PI/EDB in tert-butylbenzene (Iod = 2 mg/mL, 178 EDB = 2 mg/mL and PI = 0.2 mg/mL)",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-b7339cc1875223a35a,ZPC-000279,10.1002/app.27668,benzophenone,benzophenone,12,1;2;3,"are used in special applications.3 This technol- ogy is based on the use of photoinitiator systems suited to absorb a light radiation of the appropriate wavelength and to produce primary radical species to convert a multifunctional monomer into a cross- linked network. All photoinitiators for free-radical polymerization proceed by either a cleavage mecha- nism (Type I photoinitiator) or a hydrogen abstrac- tion mechanism (Type II photoinitiator).1 Typical hydrogen abstraction photoinitiators include benzo- phenone (BP), thioxanthones, benzil, quinones, and organic dyes, while amines, alcohols, ethers, and thi- ols are used as hydrogen donors.4 Benzophenone has been shown to initiate free-rad- ical polymerization of (meth)acrylic systems effec- tively in the presence of amines. The photoreduction of triplet-state benzophenone by tertiary amines has been extensively investigated5–7 and found to result in the formation of the rad",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-ff345236f678a8d436,ZPC-000279,10.1002/app.27668,HBP,hbp,1,5,"because photopolymerization is carried out in the presence of air, and the initiating radicals are scavenged by oxygen molecules dis- solved in the formulation. As the oxygen is con- sumed, the monomer molecules become capable of successfully reacting with the initiator radicals, thus initiating polymerization. Thus, increasing the EDAB concentration could produce rapidly large amounts of free radicals to overcome oxygen inhibition.12 CONCLUSIONS A novel hydrogen abstraction photoinitiator HBP- TDI-HBP based on 4-hydroxybenzophenone and tol- uene-2,4-diisocyanate was synthesized and character- ized by 1H NMR and UV–Vis absorption spectros- copy. The kinetics of photopolymerization of the photoinitiator was studied by real-time infrared spectroscopy. It showed that HBP-TDI-HBP was a more effective photoinitiator compared to BP. The rate of polymerization of acrylates was signiﬁcantly higher than that of methacrylates at the sa",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-fec526dffb25f1f1cd,ZPC-004576,10.1002/app.32576,benzophenone,benzophenone,1,2,"), was obtained from the local supermarket. 4-Bromomethyl benzophenone (4-BBP) and dimethyl amino ethyl methacrylate were purchased from Aldrich (Beijing, China) and were used directly without further puri- fication. Benzoyl peroxide was recrystallized from chloroform and dried in a desiccator. Toluene and other solvents were all analytically pure and were used as received. Synthesis of 4-BBPDMAEMA and SBS-g-4-BBPDMAEMA as intercalating agents 4-BBPDMAEMA was synthesized by the method in ref. 40. 1H-NMR (CDCl3, d): 1.972 (3, CH3), 3.475 (6, CH3), 4.272 (2, CH2), 4.749 (2, CH2), 5.439 (2, CH2), 5.954 (1, CH), 6.141 (1, H), 7.480 (2, ArH), 7.605 (1, ArH), 7.767 (2, ArH), 7.824 (2, ArH), 7.937 (2, ArH). Fourier transform infrared (FTIR) spectroscopy (KBr, cm1): 1716 (C¼¼O); 1657 1660 (ACH¼¼C (CH3)A); 1180 (CAO). The grafting reaction of 4-BBPDMAEMA on SBS was carried out in toluene solvent in a 100-mL, four- necked glass flask",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-c7042e75693311d76b,ZPC-005397,10.1002/app.37691,Darocur 1173,darocur1173,4,1;7;8,"the oxygen.27–31 In this study, as first thing we wanted to estimate the influence of the oxygen presence on the photocrosslinking kinetics of dia- crylate oligoisoprenes, so the first photopolymerizations have been carried out in presence and absence of oxygen and they were monitored respectively by real time FTIR and photocalor- imety-DSC. Various mixtures of diacrylate oligoisoprenes (mo- lecular weight ¼ 1750 g/mol) were used in the presence of 1% and 2.5% (w/w) of Darocur 1173 at 25C. The light intensity was constant and equal to 13.5 mW/cm2. The evolution of the Figure 11. Conversion of acrylate functions versus irradiation time of dia- crylate oligoisoprenes exposed to increasing light intensities of UV light. Table I. Viscosity and Molecular Weight of Diacrylate Hexanediol (HDDA) and Diacrylate Oligoisoprenes Oligomer 4000 Oligomer 2000 Hexanediol diacrylate Viscosity (Pa s) 9,6 3,6 5  103 a 8  10",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-a0ae33d7cc3637d997,ZPC-000269,10.1002/app.38488,darocur 1173,darocur1173,1,7,"I and different mix- tures of the free-radical initiator (darocur 1173) and of the cati- onic initiator (degacur KI 85) were then studied for different light intensities. The ultimate conversions of the acrylate double Figure 8. Thermogravimetric analysis of TMPO and mixture (TMPO þ EHTPI) after UV irradiation. Figure 9. Ultimate conversion and photopolymerization rate versus epoxidation ratio of EHTPI exposed to UV light intensity: I ¼ 50 mW cm2; [PI] ¼ 5%. ARTICLE WWW.MATERIALSVIEWS.COM WILEYONLINELIBRARY.COM/APP J. APPL. POLYM. SCI. 2013, DOI: 10.1002/APP.38488 2495 10974628, 2013, 4, Downloaded from https://onlinelibrary.wiley.com/doi/10.1002/app.38488 by Tongji University, Wiley Online Library on [22/03/2026]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
SRCENT-85be4c9bdaf097b004,ZPC-000269,10.1002/app.38488,HTE4-30,hte430,2,6,"used was the 3-ethyl-3-hy- droxymethyl oxetane (trimethylolpropane oxetane, TMPO). In addition to its low viscosity, this product possesses the hydroxyl function that can accelerate the photopolymerization process. Table I presents the molecular weight and viscosity of EHTPI for different epoxidation ratios, and of 3-ethyl-3-hydroxymethyl oxetane (TMPO). Different formulations containing the PIHTE4-30% (molecular weight ¼ 2000 g mol1, epoxidation ratio ¼ 30%), 5% w/w of photoinitiator and the increasing quantities of diluent have been prepared. The samples were irra- diated with a light intensity of 50 mW cm2. The kinetic study was performed following the conversion of epoxide functions. The plots of conversions versus irradiation times [Figure 6(b)] confirms the improvement effect of the reactive diluent on the polymerization rate and ultimate conversion. The increase of the chains mobility and the promoted",source_local_unresolved_name_candidate,not_mapped,retrieval_and_future_identity_closure_only
