link_id,record_id,cluster_id,paper_id,doi,entity_id,entity_type,molecule_id,preferred_name,matched_alias,match_start,match_end,match_basis,link_confidence,link_scope,ambiguity_status,link_status,resolved_canonical_smiles,resolved_inchikey,resolved_molecular_formula,identity_resolution_tier,identity_resolution_status,identity_resolution_source
ELINK-e65d538017c144bd52,UKB-0037df5633a625ea006e,CONDCL-e9382736d0910f2053,ZPC-000385,10.1166/jnn.2013.6011,MOL-368275596029,existing_molecule,MOL-368275596029,BNMBC,BNMBC,315,320,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-19cff3b7e235d48b92,UKB-0037df5633a625ea006e,CONDCL-e9382736d0910f2053,ZPC-000385,10.1166/jnn.2013.6011,MOL-368275596029,existing_molecule,MOL-368275596029,BNMBC,BNMBC,78,83,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-73523a6d1bc66e8a57,UKB-0037df5633a625ea006e,CONDCL-e9382736d0910f2053,ZPC-000385,10.1166/jnn.2013.6011,MOL-9843439b053e,existing_molecule,MOL-9843439b053e,BNBC,BNBC,274,278,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-0f89cc040ec4907854,UKB-0037df5633a625ea006e,CONDCL-e9382736d0910f2053,ZPC-000385,10.1166/jnn.2013.6011,MOL-9843439b053e,existing_molecule,MOL-9843439b053e,BNBC,BNBC,280,284,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-d7e36bd312b1a2026d,UKB-0037df5633a625ea006e,CONDCL-e9382736d0910f2053,ZPC-000385,10.1166/jnn.2013.6011,MOL-9843439b053e,existing_molecule,MOL-9843439b053e,BNBC,BNBC,54,58,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-570d4d0985fd9a5fd3,UKB-006ffe8f6f8ea36b22f3,CONDCL-b20c087a01bb9117a4,ZPC-000285,10.1016/j.porgcoat.2020.105546,SRCENT-973108374789b87a33,source_local_unresolved,,Irgacure 184,Irgacure 184,135,147,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,O=C(c1ccccc1)C1(O)CCCCC1,QNODIIQQMGDSEF-UHFFFAOYSA-N,C13H16O2,A_text_crosschecked,source_local_identity_accepted,source_text_plus_pubchem
ELINK-8ebbefc12251b99ded,UKB-006ffe8f6f8ea36b22f3,CONDCL-b20c087a01bb9117a4,ZPC-000285,10.1016/j.porgcoat.2020.105546,SRCENT-973108374789b87a33,source_local_unresolved,,Irgacure 184,Irgacure 184,397,409,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,O=C(c1ccccc1)C1(O)CCCCC1,QNODIIQQMGDSEF-UHFFFAOYSA-N,C13H16O2,A_text_crosschecked,source_local_identity_accepted,source_text_plus_pubchem
ELINK-4407442bd5385bb1e3,UKB-006ffe8f6f8ea36b22f3,CONDCL-b20c087a01bb9117a4,ZPC-000285,10.1016/j.porgcoat.2020.105546,SRCENT-973108374789b87a33,source_local_unresolved,,Irgacure 184,Irgacure 184,480,492,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,O=C(c1ccccc1)C1(O)CCCCC1,QNODIIQQMGDSEF-UHFFFAOYSA-N,C13H16O2,A_text_crosschecked,source_local_identity_accepted,source_text_plus_pubchem
ELINK-87c11e3d104f0a36ca,UKB-006ffe8f6f8ea36b22f3,CONDCL-b20c087a01bb9117a4,ZPC-000285,10.1016/j.porgcoat.2020.105546,SRCENT-973108374789b87a33,source_local_unresolved,,Irgacure 184,Irgacure 184,687,699,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,O=C(c1ccccc1)C1(O)CCCCC1,QNODIIQQMGDSEF-UHFFFAOYSA-N,C13H16O2,A_text_crosschecked,source_local_identity_accepted,source_text_plus_pubchem
ELINK-4a98b011979f12f989,UKB-00c44242129a3656e977,CONDCL-6042ad36983b66f42a,ZPC-002625,10.1021/ma5006793,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,136,141,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
