entity_id,paper_id,doi,source_label,candidate_channel,structure_candidate_id,page_number,raw_recognized_smiles,canonical_smiles,inchikey,fragment_count,contains_wildcard,rdkit_parse_ok,recognition_confidence,pairing_status,expected_text_inchikey,expected_fragment_match_count,expected_matching_fragment_smiles,other_fragment_smiles,source_location,molecule_crop_path,rendered_page_path
SRCENT-1677f2583369af7b6f,ZPC-000685,10.1021/ma9514838,PI 5,numbered,PANELSTR-ba988429ad4cff91b3,2,<invalid>,,,0,false,false,0.801113,unique_panel_pair,,0,,,"PDF page 2; structure bbox (263, 528, 521, 694); label bbox (374, 719, 388, 741)",outputs\literature_kb_numbered_structure_refinement_20260906\structure_crops\ZPC-000685\page_0002_structure_003.png,outputs\literature_kb_numbered_structure_refinement_20260906\source_pages\ZPC-000685\page_0002.png
SRCENT-1677f2583369af7b6f,ZPC-000685,10.1021/ma9514838,PI 5,numbered3,PANELSTR-ba988429ad4cff91b3,2,<invalid>,,,0,false,false,0.801113,unique_panel_pair,,0,,,"PDF page 2; structure bbox (263, 528, 521, 694); label bbox (374, 719, 388, 741)",outputs\literature_kb_numbered_structure_refinement_batch3_20260906\structure_crops\ZPC-000685\page_0002_structure_003.png,outputs\literature_kb_numbered_structure_refinement_batch3_20260906\source_pages\ZPC-000685\page_0002.png
SRCENT-1677f2583369af7b6f,ZPC-000685,10.1021/ma9514838,PI 5,source2,PANELSTR-ba988429ad4cff91b3,2,<invalid>,,,0,false,false,0.801113,unique_panel_pair,,0,,,"PDF page 2; structure bbox (263, 528, 521, 694); label bbox (374, 719, 388, 741)",outputs\literature_kb_source_structure_refinement_batch2_20260906\structure_crops\ZPC-000685\page_0002_structure_003.png,outputs\literature_kb_source_structure_refinement_batch2_20260906\source_pages\ZPC-000685\page_0002.png
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,numbered,PANELSTR-a92b7b445e322bdab4,7,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,DMFJZVSOGILHQS-UHFFFAOYSA-N,14,false,true,0.0,unique_panel_pair,,0,,,"PDF page 7; structure bbox (1783, 280, 2423, 602); label bbox (1751, 338, 1765, 371)",outputs\literature_kb_numbered_structure_refinement_20260906\structure_crops\ZPC-002104\page_0007_structure_003.png,outputs\literature_kb_numbered_structure_refinement_20260906\source_pages\ZPC-002104\page_0007.png
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,numbered,PANELSTR-b32cae463c22f7d916,7,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,DMFJZVSOGILHQS-UHFFFAOYSA-N,14,false,true,0.0,unique_panel_pair,,0,,,"PDF page 7; structure bbox (1783, 280, 2423, 602); label bbox (1964, 358, 1976, 394)",outputs\literature_kb_numbered_structure_refinement_20260906\structure_crops\ZPC-002104\page_0007_structure_003.png,outputs\literature_kb_numbered_structure_refinement_20260906\source_pages\ZPC-002104\page_0007.png
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,numbered,PANELSTR-47268f571ed96dd6d9,7,CC.CCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C23C2C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C45C67CC489C6C35(C78)C129,,,0,false,false,0.0,unique_panel_pair,,0,,,"PDF page 7; structure bbox (1114, 857, 1713, 1268); label bbox (1474, 1272, 1485, 1283)",outputs\literature_kb_numbered_structure_refinement_20260906\structure_crops\ZPC-002104\page_0007_structure_001.png,outputs\literature_kb_numbered_structure_refinement_20260906\source_pages\ZPC-002104\page_0007.png
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,numbered3,PANELSTR-a92b7b445e322bdab4,7,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,DMFJZVSOGILHQS-UHFFFAOYSA-N,14,false,true,0.0,unique_panel_pair,,0,,,"PDF page 7; structure bbox (1783, 280, 2423, 602); label bbox (1751, 338, 1765, 371)",outputs\literature_kb_numbered_structure_refinement_batch3_20260906\structure_crops\ZPC-002104\page_0007_structure_003.png,outputs\literature_kb_numbered_structure_refinement_batch3_20260906\source_pages\ZPC-002104\page_0007.png
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,numbered3,PANELSTR-b32cae463c22f7d916,7,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,DMFJZVSOGILHQS-UHFFFAOYSA-N,14,false,true,0.0,unique_panel_pair,,0,,,"PDF page 7; structure bbox (1783, 280, 2423, 602); label bbox (1964, 358, 1976, 394)",outputs\literature_kb_numbered_structure_refinement_batch3_20260906\structure_crops\ZPC-002104\page_0007_structure_003.png,outputs\literature_kb_numbered_structure_refinement_batch3_20260906\source_pages\ZPC-002104\page_0007.png
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,numbered3,PANELSTR-47268f571ed96dd6d9,7,CC.CCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C23C2C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C14C31C23C42C45C67CC489C6C35(C78)C129,,,0,false,false,0.0,unique_panel_pair,,0,,,"PDF page 7; structure bbox (1114, 857, 1713, 1268); label bbox (1474, 1272, 1485, 1283)",outputs\literature_kb_numbered_structure_refinement_batch3_20260906\structure_crops\ZPC-002104\page_0007_structure_001.png,outputs\literature_kb_numbered_structure_refinement_batch3_20260906\source_pages\ZPC-002104\page_0007.png
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,source,PANELSTR-a92b7b445e322bdab4,7,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,C.C.C.C.C.C.C.C.C.C.C.C.CC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CC2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C2C2C1C1C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C(CCCCCCCCC)CC%17C%16C%15C%14C%13C%12C%11C%10C9C8C7C6C5C4C3C21,DMFJZVSOGILHQS-UHFFFAOYSA-N,14,false,true,0.0,unique_panel_pair,,0,,,"PDF page 7; structure bbox (1783, 280, 2423, 602); label bbox (1751, 338, 1765, 371)",LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\structure_crops\ZPC-002104\page_0007_structure_003.png,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\source_pages\ZPC-002104\page_0007.png
